path,sentence
common_voice_sw_29907724.mp3,katika winaye saba za mkoa watuwan
common_voice_sw_28910398.mp3,unawezaji kulimbawimbo kwa kukimgia kuupaupana kuzongukadikuwa ni
common_voice_sw_29797075.mp3,msuua maeneili makumu ya masaha marefu ya kidita sasa yanana niwa
common_voice_sw_29964359.mp3,akieleza ajali iliyoiata meli kiliyokwa ikitwa tata
common_voice_sw_31330695.mp3,makwangeza kasaya jireparehe wake waniwalafanya kazi na kuji alezeki a
common_voice_sw_30324398.mp3,undolepisi npenye micure ya karijia usemia
common_voice_sw_29964380.mp3,hivyo kakati wa wa kabili hawatukutoka kwanye gini moja wanaligii
common_voice_sw_30381989.mp3,china wao wanaonua watezaji wenye kogi mkubwa
common_voice_sw_29962413.mp3,alikabalika kuna mdilio aniaji kutawakatika simu mbalimalideniani
common_voice_sw_30028672.mp3,kiongozi waafroshirasazi abilikarume asikuwa na asira kani kamojina ubakuzi
common_voice_sw_34664991.mp3,sinatombanamakunangariwa mfalikukona kakasunaiizi
common_voice_sw_30196854.mp3,bala kelela majhadole lilikuwa tamusala
common_voice_sw_30044794.mp3,kuteza mpia chinia kweimkekuna kukia
common_voice_sw_29850494.mp3,mesia kaainin iototo dautiia anaawa
common_voice_sw_30375289.mp3,matw arizarade niengoni kwaanae yarame alizama maiwa
common_voice_sw_30257234.mp3,jerumali mameshinda ubingwa kwadilia maramoja
common_voice_sw_29823169.mp3,tedeza dogo zilizokuwa na sogo kubwa katika ulae na marekan
common_voice_sw_30242232.mp3,aidazote hiziunaeza kuzikaka kutoka kwenye karana ufujadi notengineza kutokara karanga
common_voice_sw_30374475.mp3,ila malengu ya ujipanwa va hidi adita mengezaidi
common_voice_sw_34935286.mp3,walaake iato wazuri
common_voice_sw_30640442.mp3,mkoa manyara ni kat yamikuwatesina mbili ya tanzania
common_voice_sw_37099887.mp3,walea kujimalza masomu isurlika apobia sele za kamiihiye alizolidi kutoka kwa babara
common_voice_sw_30299260.mp3,tunanakwa mbajizi walilyokuwa wakifima najinili walivyovidi chambuliwa
common_voice_sw_30320227.mp3,ladena ameleta kamani kubwa kwawasichana wenge
common_voice_sw_30653476.mp3,zinaongezeka hamashauri ya ulaya mabo naamashola bili na manza
common_voice_sw_30032690.mp3,zinazopokuwa mbogozi na changa kukanguza kasi ya kukuwa kwouchome
common_voice_sw_31274774.mp3,modunuzatia na mjemani wa macingira bara nya
common_voice_sw_30329376.mp3,waligia wakutumia kikosikidogucha mapari na mafowanika mbi
common_voice_sw_30370365.mp3,atoka ghani hutumimi sito kwa ajina kukusanyi majilake
common_voice_sw_29942630.mp3,liziwahine ni zehemu ya kumukumi kiistolia
common_voice_sw_30235128.mp3,hilyo kupelekean kuluma kuwanza kujipikecha kula katika chumba chake
common_voice_sw_30561567.mp3,alishinda utezi wachama che mapinbuzi katika eneohilo
common_voice_sw_28804338.mp3,kufuatana na uwainishaji walugha kini mdarudikakatika kuende la kijina
common_voice_sw_29976833.mp3,mangoma nenga ma marouya utamadani wa wakius hiusa
common_voice_sw_31044679.mp3,madiedapa huhaimpatio ututu kwaharak
common_voice_sw_29957572.mp3,alidahatakombea mege utaweza kuikuta kwenye mkusanikulya wachango
common_voice_sw_28782359.mp3,majinake ni musara aki guu makiasi
common_voice_sw_30265847.mp3,ilipuachini ya ahari ya uinge resa ra serihali yake
common_voice_sw_30154801.mp3,mabo haya na mingine mengi kwa sasa ya mapute amasio kuisha kabisa
common_voice_sw_30139697.mp3,anna huiauasei koiai
common_voice_sw_29789412.mp3,nakiniatari amapangilia kenyzaaki
common_voice_sw_30360665.mp3,mtopuwani wapelikovefu biniani kukietha mtona eli
common_voice_sw_29962807.mp3,himisitu na mingine mingi inaifanya bara la frika kupatamkuwa ya kuto
common_voice_sw_29987783.mp3,vimumaimautaa a i
common_voice_sw_30051521.mp3,ukuuta kutana na wasumu mbaa wasumba
common_voice_sw_29945015.mp3,wavunguzirwavitomiara jinana kikusetatoai
common_voice_sw_29978653.mp3,wapagasi kitoka poni walichukuwa kuwa jina la mlima na kutaseribilo kowazono
common_voice_sw_30379563.mp3,atuma zake na maane jimingi napero duniani
common_voice_sw_27777627.mp3,kaziyake kia msa waalini kuwa ya ushabishi mkubwa na kutumiwasa
common_voice_sw_36390369.mp3,safuya mapamgo imafakiwa kusimaa musilifan
common_voice_sw_31291967.mp3,kurukajuufunishwa kutawa kwenye giti na mitai
common_voice_sw_29818833.mp3,twanzalieko age wambagaridi ma srita
common_voice_sw_29981761.mp3,wanapokuwa wakipwanasindikiziwa kwelelekea simuya tukio wanafumua o
common_voice_sw_30123761.mp3,shida ya siasa unatengeneza maaduu ya mbao hau wajui warasababu zokwa madiikwa ka kuzijiwe
common_voice_sw_30386677.mp3,katika  mbino za bahaki vipengele kikelezi kucaguwa mbino wambazo zitaongeza mapatu
common_voice_sw_29880580.mp3,nangi a kikeni inawakinisha uoto waissini tuiemao
common_voice_sw_31779410.mp3,kii naonesha kuwa sini ya wagwenda miuko uchagani
common_voice_sw_30568789.mp3,hali kakalika kwa wahai zabi kutokana na aida ye ya vakula wanaviovila
common_voice_sw_28119519.mp3,kuli na maka utumlia
common_voice_sw_36642744.mp3,wayapana moja wapo wawaliopotia ilaligo mwanaoupoteve hidi la mdiko lifumu
common_voice_sw_30377796.mp3,sasa ufuasi wake waliotumba wakamchukuwe hia mana ukainda
common_voice_sw_30527351.mp3,namchesa nate nilepatena imwa mbele a basenda
common_voice_sw_29964832.mp3,zeripale tanzania ilizeuzi ka kuwa na mbege kudopana na utelii
common_voice_sw_31441296.mp3,wajerbaji wa matini ya auma mbambali kama ile baaa
common_voice_sw_30466680.mp3,walipidu liona warabu wa aman waliorudi kutawala za nzimbara
common_voice_sw_30178350.mp3,pokake akaziiwa kuaisi a kuwamaufu akaau
common_voice_sw_30065889.mp3,ivyokukatipia bifu vingi ja pisho mafudi za kiwamamu
common_voice_sw_30546889.mp3,ilido kweto kwa na kwendangoja na kati ya izobadamoeo
common_voice_sw_34912188.mp3,mmekulipa baramo ya sipitani
common_voice_sw_30025854.mp3,wanawake na omba msamaa sualala vipodozi kabisa
common_voice_sw_30313624.mp3,kifono na kuchapwa ipoko kuwa misha kwamga serikanya karome aikuwa ya mchezo
common_voice_sw_29938860.mp3,yama didi ezidani iliekalikuwo di
common_voice_sw_30004735.mp3,alipuoke mgozi wa wilaya mili milaya rufigina uilaya mufindi
common_voice_sw_30294447.mp3,wa kakikua tanzania vikuwa ineko togalika
common_voice_sw_29981523.mp3,kipindi chanvua ndege huwangezeka mbaka kufikia ina miatatuzandedi
common_voice_sw_37226498.mp3,kraisi yakaya mrishwo kikwetekama unalolotena kumalizi a kna
common_voice_sw_28802242.mp3,hawa kwa na watoto malimishi
common_voice_sw_30149977.mp3,hraimo nishabali makisa nina imbadi na mtunzo muzikwo kizazikika kutoka tanzania
common_voice_sw_30015379.mp3,biashara na kupiga jiji zetabina siiya tanza ni
common_voice_sw_30168918.mp3,mila ya kupeketa wanawake inekuwa ikipibo marefukunda serikali mbalikali ka limunguni
common_voice_sw_29864729.mp3,kufumuko wamekufrikiliwa kuushais ika na mataraji ya kifikia
common_voice_sw_28824663.mp3,shabahailiapimarisha maasileno kati ya waishiriki na nalea mebia aria barania frika
common_voice_sw_30085764.mp3,alipojikanautani kama mtai wa jita
common_voice_sw_30295092.mp3,maranevwa bonjo upandi wa fini wa mipomfaga
common_voice_sw_30111639.mp3,kuunaweza kuona kisiwa cha ukarana hata sehemu ya jijila mand
common_voice_sw_28656883.mp3,arama katika nchi zilizondelea nia juuzaidi
common_voice_sw_34188494.mp3,mpakalio badu kunaajhamigu wa ya waazabudajiya zaziba
common_voice_sw_28820664.mp3,wamjikuu sumu
common_voice_sw_34992475.mp3,anapanda mchezo fanania maada alihunja bida
common_voice_sw_35688009.mp3,animo loteriku mga kwenye mkatama natatia kufasi hiwa
common_voice_sw_34994040.mp3,kukingia kwenye nye mbaniombayakidunafrikwa
common_voice_sw_30311819.mp3,uona kwa jumuya ya afrika mashariki ni matunda ya ungozi wa aamu ya kwanza
common_voice_sw_29954240.mp3,sira hisi kutambwa eleo hilalilikuwa la kadhi gali
common_voice_sw_29803901.mp3,alimbatasa kada ya huwandizi katika tuocharusha
common_voice_sw_31304426.mp3,mandela anayesimika  kwa ukaba na zi wake diviya wa kondona
common_voice_sw_30086135.mp3,hatehivyo hudeikaye late likuu hisiasa katarucheni afrika kuseni
common_voice_sw_29821129.mp3,ifada kaifa tana mgine npoka na mito wenichencheni
common_voice_sw_36644418.mp3,lato keatu kwupaanza na watundini halioftan
common_voice_sw_29909933.mp3,miaka eliofuata upaipu fuli na machafungo kutoka ka watii ka
common_voice_sw_30126304.mp3,utakuta watu wenejamia kidido ndiowa zirisana
common_voice_sw_28690677.mp3,satuninaza alifuatha na kushikamsimamo katika kuteswa
common_voice_sw_30059495.mp3,weka inamiko pa inaondamandar ya kuburdishaisuali nya
common_voice_sw_30519969.mp3,msabani manyera yambaya litotea kwenye tawi na vijama na sama caugote
common_voice_sw_28118772.mp3,ugubwa kitanda kutifotiano
common_voice_sw_36039962.mp3,sturiza yambo ziko ataini kutoreta ikiwa ni pamoja na ukoma za si
common_voice_sw_30063789.mp3,mawaka elfu moja miatisa amsini na lialikibadilisha chama icho
common_voice_sw_30374179.mp3,bapaji kuana igwa mia ha engini nau
common_voice_sw_30381900.mp3,mfano eneraasrika masarigi ikwa kini a jerumani kaba ya vitahiyo
common_voice_sw_30142594.mp3,wamaka kunana rine za kilikiliingia
common_voice_sw_29886716.mp3,nchini tanzania wanawake wanapata hakiza uvizurisana
common_voice_sw_30337657.mp3,napuwaka wakika wakazi wa maeneo hayo kulima mazawana kubona cha kula ta posha
common_voice_sw_30196762.mp3,hingi odisa itakaiwa kati tichahalisi yamagu
common_voice_sw_30335976.mp3,katika kitabucha mwaka waefu moja mianali kisini na nle
common_voice_sw_34676524.mp3,wanafunja mafakusomakwabilii
common_voice_sw_31304332.mp3,kati laya saba samkua wa kwani
common_voice_sw_29894620.mp3,magorotauzalika utari iwa kwendesa butindogondogo
common_voice_sw_30078056.mp3,tanzania zi mamgooni aigunga makabila wasatu liwaza kwakaza
common_voice_sw_28790580.mp3,kuna pia kiasikidogo cha kati m
common_voice_sw_29956531.mp3,kwana tuchio pama ili gundulika kuna mwana mume haja tahiriwa
common_voice_sw_30045136.mp3,wanafuji ofanya mkiani katika msomara
common_voice_sw_30314904.mp3,mima kute unaurefuwa bita futatu misita narubaini na mani
common_voice_sw_29953991.mp3,meshiriwa kambeda mani karume  aliongoza ucomge wa watu kumi na kisa
common_voice_sw_30375998.mp3,baadhi ya dito mdililoneke wakama bida ni
common_voice_sw_30126689.mp3,akibaroo hasa maandipo ya ya kobo pia alipinda vikali wa pratelsan
common_voice_sw_29967659.mp3,weza kujia mimba hiiyo kisikuwa mpaka apo watakapo manda mpota lieha
common_voice_sw_30220513.mp3,was wakanza kulita wapare kwa mana ya wapiiji
common_voice_sw_29899056.mp3,ambago rilikuo maka elfu moja miatisa siti ni namne
common_voice_sw_30090851.mp3,akati mkioungereza kujunga na matagili wa mansiki k
common_voice_sw_31343083.mp3,kuaweza kanda kwakuti nati a wa kufunia kukizau
common_voice_sw_29821693.mp3,watuwa naueshimeli a kijini kwanokutala ar
common_voice_sw_30167922.mp3,katika amfuko wake anaweza kuwaingiza kata wakitona wile
common_voice_sw_31305898.mp3,wewehauzi
common_voice_sw_30002421.mp3,naranyena mugu ni mwoja keti a maajama na patika na mkuwani nde
common_voice_sw_35643456.mp3,edewerekale renoviliwazilia wakiwenwa sialnwaliau
common_voice_sw_29987692.mp3,andinyeupelina tabia ya kuwa kisi mwanga rani uingina nsinatabia kusuarabu wa
common_voice_sw_36368148.mp3,anetiokatikabao
common_voice_sw_30067984.mp3,masherusmaambila amama mausakata miiakwakima warau
common_voice_sw_36390568.mp3,mazikamafuna wabisaa
common_voice_sw_29882419.mp3,agionkorigisokafulianzaliwakutubashirina na tisa
common_voice_sw_29928777.mp3,tukumbuke wa bakai wenye mbazi na mafisadi wato ka malidari mwet
common_voice_sw_30215164.mp3,hivya sasari diya wamasaiina hifaji za wanyamakon
common_voice_sw_30098960.mp3,amza kutabareze nazandela kunyu nchia
common_voice_sw_30214677.mp3,kna iniiyo ndio baadhibabainawakatika napanzania
common_voice_sw_28674390.mp3,kiwaparifalianza kuceza nitana kwa nikanimbo
common_voice_sw_30128690.mp3,waliuwa na bunduki zajizaza piabunukiza mtombo na miziko midogo
common_voice_sw_31288525.mp3,watuzu moja miatana kamanini na mili waliponda hutamenea fani
common_voice_sw_30102700.mp3,pambala kwa atili ya kuwa tanga za msheza pesa kimateifa
common_voice_sw_30324254.mp3,baki ya watu waimona kama katini
common_voice_sw_31293163.mp3,daraja la mungu ni moja kakinia maazamu yanayokatkana mkani mea
common_voice_sw_29791287.mp3,mafia ni loni kwani inaumeme katika ulaakutu
common_voice_sw_29954018.mp3,katika mtangubwa mazinu bale malogaro ipo enao na makaburi la piganikanhuru
common_voice_sw_29972820.mp3,walstwam uli hal ala mandeda niarisa kwanzamahika wapuka kusini ikibobemu kasifa
common_voice_sw_29187210.mp3,na balia kuoafabila kwa tabia mubakifabuporoa
common_voice_sw_30318409.mp3,maranyingi mishipahio ya damo hupasuka na damo guganda
common_voice_sw_30115179.mp3,kaba bade kujekuwa kwelolimkoa ubindikuwa rakua
common_voice_sw_30224403.mp3,hiyo ngio inajulikana kunawengi kama kirua munjo
common_voice_sw_30119437.mp3,nonogadawa kubwaya liapwa ta miwaja aane jami
common_voice_sw_31290590.mp3,mulima migombe ipo pia milimaya mbilungo
common_voice_sw_29985397.mp3,watalii wanatoka mataifa mbalimbali kuwa jiliya kwa ngalionya
common_voice_sw_30129587.mp3,matanshe kingereza yani yelikubalika matumwasan
common_voice_sw_30218335.mp3,wakati keyeusilamu ulikuwa umeneawaliendelea kujunga nayo haraka
common_voice_sw_29962343.mp3,iwa kaifa weno likolewa naipala kwa pilake
common_voice_sw_31321490.mp3,zinanasarigiti ni na manisha wana kisichunisha kwa luaaki masa
common_voice_sw_29973669.mp3,anaweza kauwa mtokowa baba mkubwa au gukumwakibumo
common_voice_sw_30307140.mp3,arusha taimuuda nziwa sheritanailfadhi za kaifa
common_voice_sw_30308298.mp3,ezo kinetoka na maisha hamulia kuwamajomu
common_voice_sw_30345924.mp3,kabla ya kwanda kupanda mlimajaribo kupanga safarindogo ya kambililupatu uzoefa
common_voice_sw_30071666.mp3,mgunena ambuna kidoji nayamunij
common_voice_sw_30438198.mp3,amboshi ameanzo hukubaliaa na pesha ya maregaa
common_voice_sw_30138589.mp3,munde tananyika na baraza a pisinatans
common_voice_sw_35588030.mp3,kitika bimia ziwo mashuli marumu zimizokokatika kusalea
common_voice_sw_30014717.mp3,alemoja wa owanapokuwa na kali sha madimake
common_voice_sw_30567644.mp3,maji ya toka imani kwa njia ya mito na vijito asaupande wa kusini
common_voice_sw_30464848.mp3,rakikumala kay ya la wakivu wa kila halimshriza malispagi ya wilulini
common_voice_sw_28933713.mp3,wanaabi mbalembayi ama kawealiape na liosi kadili ya sipis
common_voice_sw_30029264.mp3,kilalachannekilipowa jina la jumakanya kam wasisiwa ka ifa la kene
common_voice_sw_31409881.mp3,ibopia hugha ra namaya kuko katika kaiba na afrika ya kusini
common_voice_sw_29822546.mp3,dakuwa nzisha dilomio kufanya kazi kwenye mashambayeli kuwa na melikiwa nazon
common_voice_sw_34890480.mp3,midijimenki ya mingikuinaumgwa na dabana
common_voice_sw_30377195.mp3,upi alielemgiwa ukambaka sasa inio la kondimoshi arari karidu na kolila sinkondai
common_voice_sw_29823155.mp3,panajana kuwendea kweeli mujiwe gengea hura
common_voice_sw_30325810.mp3,wasesa mkua una jumla ya tarafa ishirini
common_voice_sw_30003059.mp3,alikuwa ni manacama wa gimuleya umaja wanawake watangania
common_voice_sw_30335088.mp3,watu weni wananekana kulizileji na badamuya na siobwagamye
common_voice_sw_30218437.mp3,husaini hupo kulitanaza katika mkutando wa wandishiwa habari darisalam
common_voice_sw_36616450.mp3,urudogatigui kusalaikikiazikeda kaohokwaaku
common_voice_sw_34933562.mp3,micha mafaniki a fano na tenipa masoika hay ya mekuwa kituma na vukuwazo mbinzi
common_voice_sw_28681666.mp3,makawe yine gezake ni kwenye wanjewanegia kuwataifa watonis kapans
common_voice_sw_31322515.mp3,razintafarina inalukuza na kwendeleza mpajikeso koliuligui
common_voice_sw_29889152.mp3,tanzania nzima mkoroni alihundomakabila matatu diocha kwa kazi
common_voice_sw_31258756.mp3,badi watu hau wachi wana wake za wanawatunjinao kuza kuka tu mtunza
common_voice_sw_29873122.mp3,maachada algimasa
common_voice_sw_30344434.mp3,misi yalipati wa bonji wa ahumani ya kukuwa ciongo to
common_voice_sw_31320755.mp3,kamwa wa amia katika mchia maa u a ikama
common_voice_sw_30198143.mp3,aka sasa afigo huto msaniki na mashabiki wa kulabu ya mwasilom
common_voice_sw_30338872.mp3,mita vi ya majimaji biliacha madarama kubwa kwatanzania
common_voice_sw_29059256.mp3,asali mujenda afri
common_voice_sw_30321707.mp3,shaba na lisema anahikajivishimakulipo dahabu ya ulimango
common_voice_sw_29962951.mp3,kila alipatofusa kuhikunza alitaja na kumshkuro kwa kaziake
common_voice_sw_30320119.mp3,ujitishwa uchamguzi nzini kana ngasamatae uwa kilisima
common_voice_sw_35103176.mp3,viwa likuwa mzilishilinakimgami akao
common_voice_sw_30365314.mp3,visima ivyo lilakati wanawaku wengi
common_voice_sw_29890403.mp3,wasukula pia raji muzishisana nakilirochemezae nafatana relfuga maliba
common_voice_sw_29906010.mp3,mazayya kamba na kahaa wanisha kajila kilimu
common_voice_sw_29969872.mp3,kula aida nyingine miliza wanyamu
common_voice_sw_30364430.mp3,afa male wa nao tumia kilimo chaumabigiadi
common_voice_sw_30087301.mp3,ifadhi ya kaifa ya ngarongora naselingiki
common_voice_sw_30458980.mp3,munye unasezimukani napwanza kuhadikia histolia ya ke wapi na nyetoka
common_voice_sw_30333069.mp3,izizi kiwezi kupanye safuhiikeiziitamadare
common_voice_sw_28690219.mp3,hwasasania sitamikubwa ya rufua na mafulisha mchimi
common_voice_sw_31445652.mp3,anya bashara ya sa ya maza alayo atakatika kilina
common_voice_sw_30131136.mp3,tanzania ualintovingi yotarika mamuga za nyana mikumu
common_voice_sw_30068461.mp3,wananci wengi wanajitakeza kwenyekukio na mwengi
common_voice_sw_30338392.mp3,kwa upanda wa kaskazini natanzania inapakana na mataifa
common_voice_sw_29924779.mp3,kutoka hukowahakama hadimeneo tabora mbako lidanika
common_voice_sw_30235648.mp3,mila kusaha hamashaguri ya uwilaya ngara na haimashauri ya wilaya misenu
common_voice_sw_29924236.mp3,inadihia wau inaongeza mzangamano wa
common_voice_sw_30021934.mp3,ifadhi ya kaifa ya nyerere inakatika na mikoa yalingi kwani na marugo
common_voice_sw_30119957.mp3,kati wa ahisiideezo kutumika kuzia mambukizye rogengezina
common_voice_sw_31411941.mp3,katika mparo moro a uchuni lisema wa kati hua
common_voice_sw_37093968.mp3,makuno fanakwaza waziaiya katamisalezaia
common_voice_sw_30006776.mp3,inenikimatokekati ya wanamdoa na watiga nia huo hawa
common_voice_sw_30195656.mp3,cimbaji mbamo amajini iyolaizako lianya wafanifiwa kupata maema mini makubwa
common_voice_sw_28686714.mp3,kupata ma yaimingi kwa wakaini mmi
common_voice_sw_29319097.mp3,siku livitazo sheni za umeme
common_voice_sw_29789330.mp3,ilieto hapo mwajerumali maka elfu moja miatisa komi na tano
common_voice_sw_29872441.mp3,cudi alikuwa kituma kupana kwenye mjama hilikuwa ifaniki kuwa kazi wa himailo
common_voice_sw_29926255.mp3,aliishi katika eleo ambalo sasani kine
common_voice_sw_30373044.mp3,wakazisha kilimatamazao kofatu fauti pelengana da hali ya hewa yaineo kusika
common_voice_sw_30381218.mp3,manalali ondatawinakigashindania afrika afrikanashakamresi
common_voice_sw_30082152.mp3,bange ya muda watikuwa kawa wa kushini matabila maine a kuchuhua kwa kanda ushuka
common_voice_sw_29932139.mp3,ifalhi ya ziya manyara hinaokubw wa kina metamia sita arubainilani
common_voice_sw_30323535.mp3,wala bukutoka homani warichu kuo ta wana za ma
common_voice_sw_29856437.mp3,ete wadiwa lakali wake kufunga za pari hadi chambani kwa bitemsa
common_voice_sw_37089984.mp3,gambatiala kama tai inetenga shiringi biyolisica katika setanzima ya mai
common_voice_sw_30348397.mp3,tofauti na makabila ningineni machapakazi wanajitumasana
common_voice_sw_31336637.mp3,wabakala hakuwaipu maliza sima i kuu
common_voice_sw_30233559.mp3,piataifa lazimbabu lidipidana vita ya msitwa ni
common_voice_sw_36036908.mp3,haye ukomatukea wizikatika maduka na
common_voice_sw_30146166.mp3,kwawahalo haki kuongigwa konea mbaya unaya awunagondela ugota wambara wabangu ka
common_voice_sw_29791574.mp3,ataiza lajeni kanaipanga lieto gobe alichukuwa mamlaka majishi
common_voice_sw_30629879.mp3,mune la kita kusini kwa mara wanza lika maiziniia mtueu
common_voice_sw_30485957.mp3,ikiyoni pamoja na kuumwa na kifo kushikwana kwa m
common_voice_sw_30102364.mp3,mocami la alingakwenamaba ya wachazaki a ma fanya bizurikwenyekambe ladune
common_voice_sw_30307367.mp3,azauniza maupoza mapurosha
common_voice_sw_35107708.mp3,ni kanajipileme sani
common_voice_sw_36039566.mp3,kudumaba akifa ba vna puemeailayo duma natomea
common_voice_sw_30149589.mp3,wanyama mbaibali anakatika katika msitu maohguka mlima
common_voice_sw_30312742.mp3,unamozi wandegeni lengo la kukuza utaliiwa tangania
common_voice_sw_34598335.mp3,ikumeojimben iiishiimibuukukuku
common_voice_sw_30545908.mp3,wakonina wanakuza dashara ma kupala mitandao weao
common_voice_sw_31596737.mp3,kunikieiji kimaniiaanitua
common_voice_sw_31328407.mp3,wakrisso wa uganda walikuwa shabanaya fata na ukanamizaji mkutawana waidiami
common_voice_sw_34598467.mp3,nkinga kuteifa male cimindale kuza kuingizaekilasiiakina nakufungwa mi
common_voice_sw_30219879.mp3,chiungo waliamba haoambaye ne sari halanevu
common_voice_sw_28745199.mp3,bada ya kamaliza masaba yake aafabu kazi bekiakaua ubak
common_voice_sw_29936248.mp3,foka ni mjhezo wenye kufurahisha sana dudiani
common_voice_sw_31290397.mp3,watika wengi wenye asilia badoro liwaresa
common_voice_sw_29955573.mp3,kiliaolitumia choka ilyyokaa amatu mao na kueza kwa mite muu na m
common_voice_sw_30133939.mp3,samaki awanyakuruviina wanamaliweno makali san
common_voice_sw_30454356.mp3,waranchi walipotea kumwa mimezo kweina kuliko jarare
common_voice_sw_30002822.mp3,mesi lamishinda tuza sita za mchezaji bora duniai
common_voice_sw_31207350.mp3,ujauajiv
